Date,AUDUSD=X,CADUSD=X,CHFUSD=X,EURUSD=X,GBPUSD=X,JPYUSD=X,NZDUSD=X
2018-01-01,0.7802137732505798,0.7948620319366455,1.0269787311553955,1.200494647026062,1.351607084274292,0.008875791914761066,0.7113893628120422
2018-01-02,0.7801042199134827,0.7964954376220703,1.0259356498718262,1.2011579275131226,1.3511322736740112,0.008867606520652771,0.708817720413208
2018-01-03,0.783392071723938,0.7997504472732544,1.0293785333633423,1.2063454389572144,1.359619379043579,0.008909162133932114,0.7100205421447754
2018-01-04,0.7828401327133179,0.7970095872879028,1.0233948230743408,1.2010425329208374,1.3511322736740112,0.008880442008376122,0.7090187072753906
2018-01-05,0.7863799333572388,0.8006212711334229,1.0262726545333862,1.2068840265274048,1.3552889823913574,0.008866584859788418,0.7155993580818176
2018-01-08,0.786101758480072,0.806894063949585,1.0255779027938843,1.2037460803985596,1.3575890064239502,0.008837513625621796,0.7170412540435791
2018-01-09,0.7848061919212341,0.805503249168396,1.0231539011001587,1.1970456838607788,1.3571282625198364,0.008838528767228127,0.7175402641296387
2018-01-10,0.7810669541358948,0.8017188310623169,1.0164873600006104,1.1929330825805664,1.353234887123108,0.008868786506354809,0.7144489884376526
2018-01-11,0.7847322225570679,0.7980464100837708,1.0228610038757324,1.1956144571304321,1.351278305053711,0.008973116986453533,0.7206479907035828
2018-01-12,0.7885813117027283,0.7987858653068542,1.0249366760253906,1.2042099237442017,1.3541878461837769,0.008985210210084915,0.7260793447494507
2018-01-15,0.7908889651298523,0.8025424480438232,1.033164620399475,1.2192296981811523,1.3733056783676147,0.009000900201499462,0.7249003052711487
2018-01-16,0.7962924242019653,0.8048613667488098,1.0383461713790894,1.2268433570861816,1.379824161529541,0.00904314499348402,0.7296607494354248
2018-01-17,0.797130286693573,0.8048160076141357,1.0426441431045532,1.227129340171814,1.3798813819885254,0.009058956056833267,0.7268921136856079
2018-01-18,0.7972510457038879,0.80402010679245,1.0362157821655273,1.218397855758667,1.382800817489624,0.008978595025837421,0.7272886037826538
2018-01-19,0.8005764484405518,0.8057173490524292,1.0430030822753906,1.2236607074737549,1.3894678354263306,0.00900689885020256,0.72965008020401
2018-01-22,0.8002112507820129,0.8008905649185181,1.0401498079299927,1.2255502939224243,1.3891589641571045,0.009034729562699795,0.7288311123847961
2018-01-23,0.8008328676223755,0.8030838370323181,1.0394469499588013,1.2256253957748413,1.3984841108322144,0.009011768735945225,0.7319090366363525
2018-01-24,0.8004482388496399,0.805522620677948,1.0453908443450928,1.2310267686843872,1.401738166809082,0.009082074277102947,0.7362902760505676
2018-01-25,0.8048937320709229,0.8095527291297913,1.056725025177002,1.239111304283142,1.4220906496047974,0.009146954864263535,0.733718752861023
2018-01-26,0.8029226064682007,0.8080155253410339,1.0617965459823608,1.239234209060669,1.4150274991989136,0.009115437977015972,0.731079638004303
2018-01-29,0.8116883039474487,0.8121497631072998,1.0710537433624268,1.2428072690963745,1.4149274826049805,0.009204797446727753,0.7362686395645142
2018-01-30,0.8095985651016235,0.8107538223266602,1.067008137702942,1.2381141185760498,1.4076577425003052,0.009180543944239616,0.7325094938278198
2018-01-31,0.8101101517677307,0.8106289505958557,1.0699878931045532,1.2409565448760986,1.4155884981155396,0.009196924045681953,0.7339880466461182
2018-02-01,0.806126594543457,0.8128759264945984,1.0741138458251953,1.241865873336792,1.420051097869873,0.009157425723969936,0.7375882267951965
2018-02-02,0.8040524125099182,0.8156207203865051,1.0799369812011719,1.2510008811950684,1.4266760349273682,0.00914026703685522,0.7397927045822144
2018-02-05,0.7906388640403748,0.8043758273124695,1.074021577835083,1.244694471359253,1.411133885383606,0.009088017046451569,0.7282207608222961
2018-02-06,0.7874636054039001,0.7977089881896973,1.0738831758499146,1.2367818355560303,1.3943694829940796,0.009166322648525238,0.7266914248466492
2018-02-07,0.7893905639648438,0.7997248768806458,1.0683075189590454,1.2381294965744019,1.395868182182312,0.009121840819716454,0.7331593036651611
2018-02-08,0.7817386388778687,0.795861542224884,1.060782790184021,1.2268133163452148,1.3879250288009644,0.009157844819128513,0.7227522134780884
2018-02-09,0.7787495255470276,0.794243335723877,1.069427251815796,1.2260762453079224,1.3934950828552246,0.00921412743628025,0.7226112484931946
2018-02-12,0.7820197939872742,0.794470489025116,1.0643960237503052,1.2252799272537231,1.3827433586120605,0.009191175922751427,0.7246691584587097
2018-02-13,0.7859163880348206,0.7951021790504456,1.0655300617218018,1.2303755283355713,1.3852334022521973,0.009200477972626686,0.726300835609436
2018-02-14,0.786101758480072,0.7943442463874817,1.0692557096481323,1.235376238822937,1.3886960744857788,0.00927953701466322,0.7282685041427612
2018-02-15,0.7928327918052673,0.8010766506195068,1.0781787633895874,1.2467273473739624,1.401581048965454,0.009382007643580437,0.73744136095047
2018-02-16,0.7943821549415588,0.8011536002159119,1.0845986604690552,1.2503595352172852,1.4104173183441162,0.009424093179404736,0.7398912310600281
2018-02-19,0.7912018299102783,0.7963812947273254,1.0785043239593506,1.241187572479248,1.4031543731689453,0.009410790167748928,0.7387925386428833
2018-02-20,0.7908889651298523,0.7957348227500916,1.0759629011154175,1.2398641109466553,1.3992668390274048,0.009371280670166016,0.7363878488540649
2018-02-21,0.7880903482437134,0.7907013297080994,1.0679197311401367,1.233532428741455,1.4001091718673706,0.009312634356319904,0.7342305779457092
2018-02-22,0.7798426151275635,0.7875441908836365,1.065348505973816,1.2281843423843384,1.3910139799118042,0.00929756835103035,0.7316787838935852
